category,term,definition
identity,the machine,The portable project-agnostic Claude Code agent setup contained in this repo; installs as <project>/.claude/.
identity,kern,The per-cwd memory daemon (mcp__kern__*); the machine's durable memory — never file-memory or context-mode.
identity,hub,The per-cwd fleet coordination daemon (mcp__hub__*); a Rust binary (hub/target/release/hub) that replaced the mesh.mjs daemon; kern's sibling — owns live coordination (roster/claims/messages) while kern owns memory. State persists in the repo-scoped .mesh/ directory (dir name kept for data continuity).
identity,git-fs,The branch-per-agent isolation and change-history layer (git-fs v3.1.2; gitfs/<sid> branches in the .git-fs bare store; Stop-hook merge) that hub defers to for code and declared intent.
concept,hub verbs,The eight MCP verbs the hub daemon exposes (mcp__hub__{register,roster,claim,release,claims,post,inbox,read}); the full tool surface of fleet coordination.
concept,tool registry,The in-memory table of MCP tool descriptors maintained by hub; changes emit tools/list_changed notifications; the 8 mesh verbs are pre-registered at startup and always present. Two extra verbs (hub_register_tool and hub_unregister_tool) allow dynamic extension at runtime.
concept,claim/fence token,A cross-process atomic resource lock held in hub; its fence is the monotonic per-resource generation counter proving a grant is current.
concept,roster,The live set of agent presence/liveness entries in hub; liveness is alive/stale/dead derived from heartbeat freshness only.
concept,read cursor,The per-agent marker in hub that gives exactly-once message consumption; inbox returns messages after it and read advances it.
layer,.claude/,The portable machine — identical in every repo; skills/agents/hooks/rules/settings.
layer,/.machine/,The project layer — per-repo specialization regenerated by /oil; never copied between repos.
law,Machine law,The always-applies rules in agents/default.md (root cause, one clean implementation, glossary discipline, verify before done).
law,Project law,Per-repo binding rules in /.machine/agent.md; here sourced from coding-standards.md.
process,/oil,The single lifecycle skill that installs/updates the machine and re-indexes /.machine/ by scanning the current repo; replaces /bootstrap.
process,thin command pattern,Slash-command files must be routing wrappers under 20 LOC that invoke a skill via the Skill tool.
process,dispatch integrity,Agents resolve by name: frontmatter not path; names must be unique and skills: refs must resolve.
artifact,improve.json,Live worklist in /.machine/ (tracked in git) for the machine-unification /improve loop; holds outstanding work only and shrinks toward empty.
process,slice,A numbered unit of the unification sweep; referenced in improve.json and commit messages (e.g. "Slice 6").
law,sole driver,Only one session may drive the /improve loop; improve.json has no lock and concurrent writers lose updates (incident e193515d). Generalized by the main-lock law to the whole shared main tree.
law,main-lock,Any session must hold the hub claim on resource branch:main before editing/committing/merging/update-ref'ing the shared repo-root main working tree, and release after landing; isolated gitfs/<sid> worktrees need no lock. Prevents concurrent sessions clobbering each other's working tree (incidents e193515d, e0afc0d). Protocol: .claude/shared/main-lock.md.
quality,five-dimension quality gate,The machine's code-quality bar defined in the foundation-quality skill; enforced by manager-quality and /gate.
identity,personas panel,The data-driven review panel defined by files in /.machine/personas/; run in parallel via /personas after non-trivial work.
drill,the drill,The orchestrator surface — the drill-first main-loop driver (agent and skill both named drill); refines a request by drilling, dispatches a plan agent then an implementation subagent (a miner), and proposes a merge into main. Only the surface is themed; everything underneath keeps plain names (job, git-fs, subagent).
